HGNC_approved_gene_symbol	HGNC_approved_gene_name	Pseudogene	UniProt_ID	Ensembl_ID	inSupplement	inQuickGO	dbTF_GO_annotation,_2019_(1347_genes)	Vaquerizas,_2009_(1536_genes)	TFCheckPoint,_Chawla,_2013_(1012_genes)	Saeed,_2014_(1572_genes)	Schmeier,_2017_(1750_genes)	TFClass,_Wingender,_2018_(1488_genes)	Lambert,_2018_(1630_TF_genes)	HumanTFDB,_Hu_et_al,_2019_(1637_genes)	Number_of_dbTF_lists	HT-SELEX,_Yin,_2017_(541_genes)_	PANTHER_family_ID	PANTHER_subfamily_ID	PANTHER_family_name
MYRFL	myelin_regulatory_factor_like		Q96LU7	ENSG00000166268	1	1	MYRFL			MYRFL			MYRFL	MYRFL	3		PTHR13029	SF17	MYELIN_REGULATORY_FACTOR-LIKE_PROTEIN
MYT1	myelin_transcription_factor_1		Q01538	ENSG00000196132	1	1	MYT1	a	MYT1	MYT1	MYT1	2.7.1.0.1	MYT1	MYT1	7		PTHR10816	SF10	MYELIN_TRANSCRIPTION_FACTOR_1
MYT1L	myelin_transcription_factor_1_like		Q9UL68	ENSG00000186487	1	1	MYT1L	b	MYT1L	MYT1L	MYT1L	2.7.1.0.2	MYT1L	MYT1L	7		PTHR10816	SF11	MYELIN_TRANSCRIPTION_FACTOR_1-LIKE_PROTEIN
MZF1	myeloid_zinc_finger_1		P28698	ENSG00000099326	1	1	MZF1	a	MZF1	MZF1	MZF1	2.3.3.0.152	MZF1	MZF1	7		PTHR24384	SF2	MYELOID_ZINC_FINGER_1
NACC1	nucleus_accumbens_associated_1		Q96RE7	ENSG00000160877	1	1			NACC1						1		PTHR46105	SF3	NUCLEUS_ACCUMBENS-ASSOCIATED_PROTEIN_1
NACC2	NACC_family_member_2		Q96BF6	ENSG00000148411	1	1			NACC2	NACC2			NACC2		3		PTHR46105	SF2	NUCLEUS_ACCUMBENS-ASSOCIATED_PROTEIN_2
NANOG	Nanog_homeobox		Q9H9S0	ENSG00000111704	1	1	NANOG	a	NANOG	NANOG	NANOG	3.1.2.12.1	NANOG	NANOG	7	NANOG	PTHR24327		
NANOGNB	NANOG_neighbor_homeobox		Q7Z5D8	ENSG00000205857	1	1	NANOGNB			NANOGNB	NANOGNB	3.1.8.5.5	NANOGNB	NANOGNB	5				
NANOGP1	Nanog_homeobox_pseudogene_1	pseudogene	Q8N7R0	ENSG00000176654	1	1	NANOGP1	c		NANOGP1	NANOGP1				3		PTHR24327	SF72	HOMEOBOX_PROTEIN_NANOG-RELATED
NANOGP8	Nanog_homeobox_retrogene_P8		Q6NSW7	ENSG00000255192	1	1	NANOGP8		NANOGP8	NANOGP8	NANOGP8		NANOGP8	NANOGP8	5		PTHR24327		
NEUROD1	neuronal_differentiation_1		Q13562	ENSG00000162992	1	1	NEUROD1	a	NEUROD1	NEUROD1	NEUROD1	1.2.3.4.1	NEUROD1	NEUROD1	7	NEUROD1	PTHR19290	SF88	NEUROGENIC_DIFFERENTIATION_FACTOR_1
NEUROD2	neuronal_differentiation_2		Q15784	ENSG00000171532	1	1	NEUROD2	a	NEUROD2	NEUROD2	NEUROD2	1.2.3.4.2	NEUROD2	NEUROD2	7	NEUROD2	PTHR19290	SF83	NEUROGENIC_DIFFERENTIATION_FACTOR_2
NEUROD4	neuronal_differentiation_4		Q9HD90	ENSG00000123307	1	1	NEUROD4	b	NEUROD4	NEUROD4	NEUROD4	1.2.3.4.3	NEUROD4	NEUROD4	7		PTHR19290	SF86	NEUROGENIC_DIFFERENTIATION_FACTOR_4
NEUROD6	neuronal_differentiation_6		Q96NK8	ENSG00000164600	1	1	NEUROD6	a	NEUROD6	NEUROD6	NEUROD6	1.2.3.4.4	NEUROD6	NEUROD6	7		PTHR19290	SF9	NEUROGENIC_DIFFERENTIATION_FACTOR_6
NEUROG1	neurogenin_1		Q92886	ENSG00000181965	1	1	NEUROG1	a	NEUROG1	NEUROG1	NEUROG1	1.2.3.4.5	NEUROG1	NEUROG1	7	NEUROG1	PTHR19290	SF130	NEUROGENIN-1
NEUROG2	neurogenin_2		Q9H2A3	ENSG00000178403	1	1	NEUROG2	c	NEUROG2	NEUROG2	NEUROG2	1.2.3.4.6	NEUROG2	NEUROG2	7	NEUROG2	PTHR19290	SF105	NEUROGENIN-2
NEUROG3	neurogenin_3		Q9Y4Z2	ENSG00000122859	1	1	NEUROG3	a	NEUROG3	NEUROG3	NEUROG3	1.2.3.4.7	NEUROG3	NEUROG3	7		PTHR19290	SF94	NEUROGENIN-3
NFAT5	nuclear_factor_of_activated_T_cells_5		O94916	ENSG00000102908	1	1	NFAT5	a	NFAT5	NFAT5	NFAT5	6.1.3.0.5	NFAT5	NFAT5	7	NFAT5	PTHR12533	SF10	NUCLEAR_FACTOR_OF_ACTIVATED_T-CELLS_5
NFATC1	nuclear_factor_of_activated_T_cells_1		O95644	ENSG00000131196	1	1	NFATC1	a	NFATC1	NFATC1	NFATC1	6.1.3.0.1	NFATC1	NFATC1	7	NFATC1	PTHR12533	SF5	NUCLEAR_FACTOR_OF_ACTIVATED_T-CELLS,_CYTOPLASMIC_1
NFATC2	nuclear_factor_of_activated_T_cells_2		Q13469	ENSG00000101096	1	1	NFATC2	a	NFATC2	NFATC2	NFATC2	6.1.3.0.2	NFATC2	NFATC2	7	NFATC2	PTHR12533	SF4	NUCLEAR_FACTOR_OF_ACTIVATED_T-CELLS,_CYTOPLASMIC_2
NFATC3	nuclear_factor_of_activated_T_cells_3		Q12968	ENSG00000072736	1	1	NFATC3	a	NFATC3	NFATC3	NFATC3	6.1.3.0.3	NFATC3	NFATC3	7	NFATC3	PTHR12533	SF6	NUCLEAR_FACTOR_OF_ACTIVATED_T-CELLS,_CYTOPLASMIC_3
NFATC4	nuclear_factor_of_activated_T_cells_4		Q14934	ENSG00000100968	1	1	NFATC4	a	NFATC4	NFATC4	NFATC4	6.1.3.0.4	NFATC4	NFATC4	7	NFATC4	PTHR12533	SF11	NUCLEAR_FACTOR_OF_ACTIVATED_T-CELLS,_CYTOPLASMIC_4
NFE2	nuclear_factor,_erythroid_2		Q16621	ENSG00000123405	1	1	NFE2	a	NFE2	NFE2	NFE2	1.1.1.2.1	NFE2	NFE2	7	NFE2	PTHR24411	SF26	TRANSCRIPTION_FACTOR_NF-E2_45_KDA_SUBUNIT
NFE2L1	nuclear_factor,_erythroid_2_like_1		Q14494	ENSG00000082641	1	1	NFE2L1	a	NFE2L1	NFE2L1	NFE2L1	1.1.1.2.2	NFE2L1	NFE2L1	7		PTHR24411	SF31	ENDOPLASMIC_RETICULUM_MEMBRANE_SENSOR_NFE2L1
NFE2L2	nuclear_factor,_erythroid_2_like_2		Q16236	ENSG00000116044	1	1	NFE2L2	a	NFE2L2	NFE2L2	NFE2L2	1.1.1.2.3	NFE2L2	NFE2L2	7		PTHR24411	SF3	NUCLEAR_FACTOR_ERYTHROID_2-RELATED_FACTOR_2
NFE2L3	nuclear_factor,_erythroid_2_like_3		Q9Y4A8	ENSG00000050344	1	1	NFE2L3	a	NFE2L3	NFE2L3	NFE2L3	1.1.1.2.4	NFE2L3	NFE2L3	7		PTHR24411	SF8	NUCLEAR_FACTOR_ERYTHROID_2-RELATED_FACTOR_3
NFIA	nuclear_factor_I_A		Q12857	ENSG00000162599	1	1	NFIA	a	NFIA	NFIA	NFIA	7.1.2.0	NFIA	NFIA	7		PTHR11492	SF6	NUCLEAR_FACTOR_1_A-TYPE
NFIB	nuclear_factor_I_B		O00712	ENSG00000147862	1	1	NFIB	a	NFIB	NFIB	NFIB	7.1.2.0.2	NFIB	NFIB	7	NFIB	PTHR11492	SF4	NUCLEAR_FACTOR_1_B-TYPE
NFIC	nuclear_factor_I_C		P08651	ENSG00000141905	1	1	NFIC	a	NFIC	NFIC	NFIC	7.1.2.0.3	NFIC	NFIC	7	NFIC	PTHR11492	SF2	NUCLEAR_FACTOR_1_C-TYPE
NFIL3	nuclear_factor,_interleukin_3_regulated		Q16649	ENSG00000165030	1	1	NFIL3	b	NFIL3	NFIL3	NFIL3	1.1.8.2.3	NFIL3	NFIL3	7		PTHR15284	SF1	NUCLEAR_FACTOR_INTERLEUKIN-3-REGULATED_PROTEIN
NFILZ	NFIL3_like_basic_leucine_zipper		A0A5F9ZHS7	ENSG00000268480	1	1									0				
NFIX	nuclear_factor_I_X		Q14938	ENSG00000008441	1	1	NFIX	a	NFIX	NFIX	NFIX	7.1.2.0.4	NFIX	NFIX	7	NFIX	PTHR11492	SF3	NUCLEAR_FACTOR_1_X-TYPE
NFKB1	nuclear_factor_kappa_B_subunit_1		P19838	ENSG00000109320	1	1	NFKB1	a	NFKB1	NFKB1	NFKB1	6.1.1.1.1	NFKB1	NFKB1	7		PTHR24169	SF9	NUCLEAR_FACTOR_NF-KAPPA-B_P105_SUBUNIT
NFKB2	nuclear_factor_kappa_B_subunit_2		Q00653	ENSG00000077150	1	1	NFKB2	a	NFKB2	NFKB2	NFKB2	6.1.1.1.2	NFKB2	NFKB2	7	NFKB2	PTHR24169	SF21	NUCLEAR_FACTOR_NF-KAPPA-B_P100_SUBUNIT
NFX1	nuclear_transcription_factor,_X-box_binding_1		Q12986	ENSG00000086102	1	1	NFX1	a	NFX1	NFX1	NFX1	0.4.1.0.1	NFX1	NFX1	7		PTHR12360	SF12	TRANSCRIPTIONAL_REPRESSOR_NF-X1
NFXL1	nuclear_transcription_factor,_X-box_binding_like_1		Q6ZNB6	ENSG00000170448	1	1	NFXL1	c	NFXL1	NFXL1	NFXL1	0.4.1.0.2	NFXL1	NFXL1	7		PTHR12360	SF1	NF-X1-TYPE_ZINC_FINGER_PROTEIN_NFXL1
NFYA	nuclear_transcription_factor_Y_subunit_alpha		P23511	ENSG00000001167	1	1	NFYA	a	NFYA	NFYA	NFYA	4.2.1.0.1	NFYA	NFYA	7		PTHR12632	SF6	NUCLEAR_TRANSCRIPTION_FACTOR_Y_SUBUNIT_ALPHA
NFYB	nuclear_transcription_factor_Y_subunit_beta		P25208	ENSG00000120837	1	1	NFYB	a		NFYB	NFYB	4.2.1.0.2	NFYB	NFYB	6		PTHR11064	SF120	NUCLEAR_TRANSCRIPTION_FACTOR_Y_SUBUNIT_BETA
NFYC	nuclear_transcription_factor_Y_subunit_gamma		Q13952	ENSG00000066136	1	1	NFYC	a	NFYC	NFYC	NFYC	4.2.1.0.3	NFYC	NFYC	7		PTHR10252	SF91	NUCLEAR_TRANSCRIPTION_FACTOR_Y_SUBUNIT_GAMMA
NHLH1	nescient_helix-loop-helix_1		Q02575	ENSG00000171786	1	1	NHLH1	b	NHLH1	NHLH1	NHLH1		NHLH1	NHLH1	6	NHLH1	PTHR13864	SF20	HELIX-LOOP-HELIX_PROTEIN_1
NHLH2	nescient_helix-loop-helix_2		Q02577	ENSG00000177551	1	1	NHLH2	b	NHLH2	NHLH2	NHLH2	1.2.3.1.5	NHLH2	NHLH2	7	NHLH2	PTHR13864	SF19	HELIX-LOOP-HELIX_PROTEIN_2
NKRF	NFKB_repressing_factor		O15226	ENSG00000186416	1	1	NKRF	other	NKRF		NKRF		NKRF	NKRF	5		PTHR16148	SF15	NF-KAPPA-B-REPRESSING_FACTOR
NKX1-1	NK1_homeobox_1		Q15270	ENSG00000235608	1	1	NKX1-1			NKX1-1	NKX1-1	3.1.2.13.1	NKX1-1	NKX1-1	5		PTHR24340	SF26	NK1_TRANSCRIPTION_FACTOR-RELATED_PROTEIN_1
NKX1-2	NK1_homeobox_2		Q9UD57	ENSG00000229544	1	1	NKX1-2		NKX1-2	NKX1-2	NKX1-2	3.1.2.13.2	NKX1-2	NKX1-2	6		PTHR24340	SF17	NK1_TRANSCRIPTION_FACTOR-RELATED_PROTEIN_2
NKX2-1	NK2_homeobox_1		P43699	ENSG00000136352	1	1	NKX2-1	a	NKX2-1	NKX2-1	NKX2-1	3.1.2.14.1	NKX2-1	NKX2-1	7		PTHR24340	SF33	HOMEOBOX_PROTEIN_NKX-2.1
NKX2-2	NK2_homeobox_2		O95096	ENSG00000125820	1	1	NKX2-2	b	NKX2-2	NKX2-2	NKX2-2	3.1.2.15.1	NKX2-2	NKX2-2	7		PTHR24340	SF24	HOMEOBOX_PROTEIN_NKX-2.2
NKX2-3	NK2_homeobox_3		Q8TAU0	ENSG00000119919	1	1	NKX2-3	a	NKX2-3	NKX2-3	NKX2-3	3.1.2.17.1	NKX2-3	NKX2-3	7	NKX2-3	PTHR24340	SF32	HOMEOBOX_PROTEIN_NKX-2.3
NKX2-4	NK2_homeobox_4		Q9H2Z4	ENSG00000125816	1	1	NKX2-4	b		NKX2-4	NKX2-4	3.1.2.14.2	NKX2-4	NKX2-4	6		PTHR24340	SF40	HOMEOBOX_PROTEIN_NKX-2.4
NKX2-5	NK2_homeobox_5		P52952	ENSG00000183072	1	1	NKX2-5	a	NKX2-5	NKX2-5	NKX2-5	3.1.2.17.2	NKX2-5	NKX2-5	7	NKX2-5	PTHR24340	SF28	HOMEOBOX_PROTEIN_NKX-2.5
NKX2-6	NK2_homeobox_6		A6NCS4	ENSG00000180053	1	1	NKX2-6	b	NKX2-6	NKX2-6	NKX2-6	3.1.2.17.3	NKX2-6	NKX2-6	7		PTHR24340	SF72	HOMEOBOX_PROTEIN_NKX-2.6
NKX2-8	NK2_homeobox_8		O15522	ENSG00000136327	1	1	NKX2-8	b	NKX2-8	NKX2-8	NKX2-8	3.1.2.15.2	NKX2-8	NKX2-8	7	NKX2-8	PTHR24340	SF27	HOMEOBOX_PROTEIN_NKX-2.8
NKX3-1	NK3_homeobox_1		Q99801	ENSG00000167034	1	1	NKX3-1	a	NKX3-1	NKX3-1	NKX3-1	3.1.2.16.1	NKX3-1	NKX3-1	7	NKX3-1	PTHR24340	SF38	HOMEOBOX_PROTEIN_NKX-3.1
NKX3-2	NK3_homeobox_2		P78367	ENSG00000109705	1	1	NKX3-2	b	NKX3-2	NKX3-2	NKX3-2	3.1.2.16.2	NKX3-2	NKX3-2	7	NKX3-2	PTHR24340	SF34	HOMEOBOX_PROTEIN_NKX-3.2
NKX6-1	NK6_homeobox_1		P78426	ENSG00000163623	1	1	NKX6-1	a	NKX6-1	NKX6-1	NKX6-1	3.1.2.19.1	NKX6-1	NKX6-1	7		PTHR24340	SF31	HOMEOBOX_PROTEIN_NKX-6.1
NKX6-2	NK6_homeobox_2		Q9C056	ENSG00000148826	1	1	NKX6-2	a	NKX6-2	NKX6-2	NKX6-2	3.1.2.19.2	NKX6-2	NKX6-2	7	NKX6-2	PTHR24340	SF21	HOMEOBOX_PROTEIN_NKX-6.2
NKX6-3	NK6_homeobox_3		A6NJ46	ENSG00000165066	1	1	NKX6-3	c	NKX6-3	NKX6-3	NKX6-3	3.1.2.19.3	NKX6-3	NKX6-3	7	NKX6-3	PTHR24340	SF20	HOMEOBOX_PROTEIN_NKX-6.3
NOBOX	NOBOX_oogenesis_homeobox		O60393	ENSG00000106410	1	1	NOBOX	b	NOBOX	NOBOX	NOBOX	3.1.3.15.1	NOBOX	NOBOX	7		PTHR47060	SF1	HOMEOBOX_PROTEIN_NOBOX
NOTO	notochord_homeobox		A8MTQ0	ENSG00000214513	1	1	NOTO	a		NOTO	NOTO	3.1.2.20.1	NOTO	NOTO	6	NOTO	PTHR24339	SF47	HOMEOBOX_PROTEIN_NOTOCHORD
NPAS1	neuronal_PAS_domain_protein_1		Q99742	ENSG00000130751	1	1	NPAS1	a	NPAS1	NPAS1	NPAS1	1.2.5.1.8	NPAS1	NPAS1	7		PTHR23043	SF25	NEURONAL_PAS_DOMAIN-CONTAINING_PROTEIN_1
NPAS2	neuronal_PAS_domain_protein_2		Q99743	ENSG00000170485	1	1	NPAS2	a	NPAS2	NPAS2	NPAS2	1.2.5.2.6	NPAS2	NPAS2	7	NPAS2	PTHR46055	SF1	NEURONAL_PAS_DOMAIN-CONTAINING_PROTEIN_2
NPAS3	neuronal_PAS_domain_protein_3		Q8IXF0	ENSG00000151322	1	1	NPAS3	c	NPAS3	NPAS3	NPAS3	1.2.5.1.9	NPAS3	NPAS3	7		PTHR23043	SF30	NEURONAL_PAS_DOMAIN-CONTAINING_PROTEIN_3
NPAS4	neuronal_PAS_domain_protein_4		Q8IUM7	ENSG00000174576	1	1	NPAS4	other	NPAS4	NPAS4	NPAS4	1.2.5.4.1	NPAS4	NPAS4	7		PTHR23043	SF24	NEURONAL_PAS_DOMAIN-CONTAINING_PROTEIN_4
NR1D1	nuclear_receptor_subfamily_1_group_D_member_1		P20393	ENSG00000126368	1	1	NR1D1	a	NR1D1	NR1D1	NR1D1	2.1.2.3.1	NR1D1	NR1D1	7	NR1D1	PTHR24082	SF113	NUCLEAR_RECEPTOR_SUBFAMILY_1_GROUP_D_MEMBER_1
NR1D2	nuclear_receptor_subfamily_1_group_D_member_2		Q14995	ENSG00000174738	1	1	NR1D2	a	NR1D2	NR1D2	NR1D2	2.1.2.3.2	NR1D2	NR1D2	7	NR1D2	PTHR24082	SF112	NUCLEAR_RECEPTOR_SUBFAMILY_1_GROUP_D_MEMBER_2
NR1H2	nuclear_receptor_subfamily_1_group_H_member_2		P55055	ENSG00000131408	1	1	NR1H2	a	NR1H2	NR1H2	NR1H2	2.1.2.7	NR1H2	NR1H2	7		PTHR24082	SF316	OXYSTEROLS_RECEPTOR_LXR-BETA
NR1H3	nuclear_receptor_subfamily_1_group_H_member_3		Q13133	ENSG00000025434	1	1	NR1H3	a	NR1H3	NR1H3	NR1H3	2.1.2.7.1	NR1H3	NR1H3	7		PTHR24082	SF259	OXYSTEROLS_RECEPTOR_LXR-ALPHA
NR1H4	nuclear_receptor_subfamily_1_group_H_member_4		Q96RI1	ENSG00000012504	1	1	NR1H4	a	NR1H4	NR1H4	NR1H4	2.1.2.7.3	NR1H4	NR1H4	7		PTHR24082	SF155	BILE_ACID_RECEPTOR
NR1I2	nuclear_receptor_subfamily_1_group_I_member_2		O75469	ENSG00000144852	1	1	NR1I2	a	NR1I2	NR1I2	NR1I2	2.1.2.4.2	NR1I2	NR1I2	7	NR1I2	PTHR24082	SF39	NUCLEAR_RECEPTOR_SUBFAMILY_1_GROUP_I_MEMBER_2
NR1I3	nuclear_receptor_subfamily_1_group_I_member_3		Q14994	ENSG00000143257	1	1	NR1I3	a	NR1I3	NR1I3	NR1I3	2.1.2.4.3	NR1I3	NR1I3	7	NR1I3	PTHR24082	SF231	NUCLEAR_RECEPTOR_SUBFAMILY_1_GROUP_I_MEMBER_3
NR2C1	nuclear_receptor_subfamily_2_group_C_member_1		P13056	ENSG00000120798	1	1	NR2C1	a	NR2C1	NR2C1	NR2C1	2.1.3.4.1	NR2C1	NR2C1	7	NR2C1	PTHR24083	SF49	NUCLEAR_RECEPTOR_SUBFAMILY_2_GROUP_C_MEMBER_1
NR2C2	nuclear_receptor_subfamily_2_group_C_member_2		P49116	ENSG00000177463	1	1	NR2C2	a	NR2C2	NR2C2	NR2C2	2.1.3.4.2	NR2C2	NR2C2	7	NR2C2	PTHR24083	SF48	NUCLEAR_RECEPTOR_SUBFAMILY_2_GROUP_C_MEMBER_2
NR2E1	nuclear_receptor_subfamily_2_group_E_member_1		Q9Y466	ENSG00000112333	1	1	NR2E1	a	NR2E1	NR2E1	NR2E1	2.1.3.3.1	NR2E1	NR2E1	7	NR2E1	PTHR24083	SF98	NUCLEAR_RECEPTOR_SUBFAMILY_2_GROUP_E_MEMBER_1
NR2E3	nuclear_receptor_subfamily_2_group_E_member_3		Q9Y5X4	ENSG00000278570	1	1	NR2E3	a	NR2E3	NR2E3	NR2E3	2.1.3.3	NR2E3	NR2E3	7		PTHR24083	SF4	PHOTORECEPTOR-SPECIFIC_NUCLEAR_RECEPTOR
NR2F1	nuclear_receptor_subfamily_2_group_F_member_1		P10589	ENSG00000175745	1	1	NR2F1	a	NR2F1	NR2F1	NR2F1	2.1.3.5	NR2F1	NR2F1	7	NR2F1	PTHR24083	SF168	COUP_TRANSCRIPTION_FACTOR_1
NR2F2	nuclear_receptor_subfamily_2_group_F_member_2		P24468	ENSG00000185551	1	1	NR2F2	a	NR2F2	NR2F2	NR2F2	2.1.3.5	NR2F2	NR2F2	7		PTHR24083	SF45	COUP_TRANSCRIPTION_FACTOR_2
NR2F6	nuclear_receptor_subfamily_2_group_F_member_6		P10588	ENSG00000160113	1	1	NR2F6	a	NR2F6	NR2F6	NR2F6	2.1.3.5	NR2F6	NR2F6	7	NR2F6	PTHR24083	SF44	NUCLEAR_RECEPTOR_SUBFAMILY_2_GROUP_F_MEMBER_6
NR3C1	nuclear_receptor_subfamily_3_group_C_member_1		P04150	ENSG00000113580	1	1	NR3C1	a	NR3C1	NR3C1	NR3C1	2.1.1.1.1	NR3C1	NR3C1	7	NR3C1	PTHR48092	SF5	GLUCOCORTICOID_RECEPTOR
NR3C2	nuclear_receptor_subfamily_3_group_C_member_2		P08235	ENSG00000151623	1	1	NR3C2	a	NR3C2	NR3C2	NR3C2	2.1.1.1.2	NR3C2	NR3C2	7	NR3C2	PTHR48092	SF19	MINERALOCORTICOID_RECEPTOR
NR4A1	nuclear_receptor_subfamily_4_group_A_member_1		P22736	ENSG00000123358	1	1	NR4A1	a	NR4A1	NR4A1	NR4A1	2.1.4.0.1	NR4A1	NR4A1	7	NR4A1	PTHR24085	SF1	NUCLEAR_RECEPTOR_SUBFAMILY_4_GROUP_A_MEMBER_1
NR4A2	nuclear_receptor_subfamily_4_group_A_member_2		P43354	ENSG00000153234	1	1	NR4A2	a	NR4A2	NR4A2	NR4A2	2.1.4.0.2	NR4A2	NR4A2	7	NR4A2	PTHR24085	SF0	NUCLEAR_RECEPTOR_SUBFAMILY_4_GROUP_A_MEMBER_2
NR4A3	nuclear_receptor_subfamily_4_group_A_member_3		Q92570	ENSG00000119508	1	1	NR4A3	a	NR4A3	NR4A3	NR4A3	2.1.4.0.3	NR4A3	NR4A3	7		PTHR24085	SF2	NUCLEAR_RECEPTOR_SUBFAMILY_4_GROUP_A_MEMBER_3
NR5A1	nuclear_receptor_subfamily_5_group_A_member_1		Q13285	ENSG00000136931	1	1	NR5A1	a	NR5A1	NR5A1	NR5A1	2.1.5.0.1	NR5A1	NR5A1	7	NR5A1	PTHR24086	SF24	STEROIDOGENIC_FACTOR_1
NR5A2	nuclear_receptor_subfamily_5_group_A_member_2		O00482	ENSG00000116833	1	1	NR5A2	a	NR5A2	NR5A2	NR5A2	2.1.5.0.2	NR5A2	NR5A2	7	NR5A2	PTHR24086	SF18	NUCLEAR_RECEPTOR_SUBFAMILY_5_GROUP_A_MEMBER_2
NR6A1	nuclear_receptor_subfamily_6_group_A_member_1		Q15406	ENSG00000148200	1	1	NR6A1	a	NR6A1	NR6A1	NR6A1	2.1.6.0.1	NR6A1	NR6A1	7	NR6A1	PTHR48092	SF18	NUCLEAR_RECEPTOR_SUBFAMILY_6_GROUP_A_MEMBER_1
NRF1	nuclear_respiratory_factor_1		Q16656	ENSG00000106459	1	1	NRF1	other	NRF1	NRF1	NRF1	0.0.6.0.1	NRF1	NRF1	7		PTHR20338	SF8	NUCLEAR_RESPIRATORY_FACTOR_1
NRL	neural_retina_leucine_zipper		P54845	ENSG00000129535	1	1	NRL	a	NRL	NRL	NRL	1.1.3.1.4	NRL	NRL	7	NRL	PTHR10129	SF24	NEURAL_RETINA-SPECIFIC_LEUCINE_ZIPPER_PROTEIN
OLIG1	oligodendrocyte_transcription_factor_1		Q8TAK6	ENSG00000184221	1	1	OLIG1	a	OLIG1	OLIG1	OLIG1	1.2.3.4.13	OLIG1	OLIG1	7		PTHR19290	SF7	OLIGODENDROCYTE_TRANSCRIPTION_FACTOR_1
OLIG2	oligodendrocyte_transcription_factor_2		Q13516	ENSG00000205927	1	1	OLIG2	a	OLIG2	OLIG2	OLIG2	1.2.3.4.14	OLIG2	OLIG2	7	OLIG2	PTHR19290	SF32	OLIGODENDROCYTE_TRANSCRIPTION_FACTOR_2
OLIG3	oligodendrocyte_transcription_factor_3		Q7RTU3	ENSG00000177468	1	1	OLIG3	b	OLIG3	OLIG3	OLIG3	1.2.3.4.15	OLIG3	OLIG3	7	OLIG3	PTHR19290	SF96	OLIGODENDROCYTE_TRANSCRIPTION_FACTOR_3
ONECUT1	one_cut_homeobox_1		Q9UBC0	ENSG00000169856	1	1	ONECUT1	a	ONECUT1	ONECUT1	ONECUT1	3.1.9.1.1	ONECUT1	ONECUT1	7	ONECUT1	PTHR14057	SF9	HEPATOCYTE_NUCLEAR_FACTOR_6
ONECUT2	one_cut_homeobox_2		O95948	ENSG00000119547	1	1	ONECUT2	a	ONECUT2	ONECUT2	ONECUT2	3.1.9.1.2	ONECUT2	ONECUT2	7	ONECUT2	PTHR14057	SF10	ONE_CUT_DOMAIN_FAMILY_MEMBER_2
ONECUT3	one_cut_homeobox_3		O60422	ENSG00000205922	1	1	ONECUT3	b	ONECUT3	ONECUT3	ONECUT3	3.1.9.1.3	ONECUT3	ONECUT3	7	ONECUT3	PTHR14057	SF34	ONE_CUT_DOMAIN_FAMILY_MEMBER_3
OSR1	odd-skipped_related_transcription_factor_1		Q8TAX0	ENSG00000143867	1	1	OSR1	b	OSR1	OSR1	OSR1	2.3.2.4.7	OSR1	OSR1	7	OSR1	PTHR14196	SF5	PROTEIN_ODD-SKIPPED-RELATED_1
OSR2	odd-skipped_related_transciption_factor_2		Q8N2R0	ENSG00000164920	1	1		b	OSR2	OSR2	OSR2	2.3.3.0.9	OSR2	OSR2	7	OSR2	PTHR14196	SF4	PROTEIN_ODD-SKIPPED-RELATED_2
OTP	orthopedia_homeobox		Q5XKR4	ENSG00000171540	1	1	OTP	b	OTP	OTP	OTP	3.1.3.16.1	OTP	OTP	7		PTHR46770	SF1	HOMEOBOX_PROTEIN_ORTHOPEDIA
OTX1	orthodenticle_homeobox_1		P32242	ENSG00000115507	1	1	OTX1	a	OTX1	OTX1	OTX1	3.1.3.17.1	OTX1	OTX1	7	OTX1	PTHR45793	SF9	HOMEOBOX_PROTEIN_OTX1
OTX2	orthodenticle_homeobox_2		P32243	ENSG00000165588	1	1	OTX2	a	OTX2	OTX2	OTX2	3.1.3.17.2	OTX2	OTX2	7	OTX2	PTHR45793	SF2	HOMEOBOX_PROTEIN_OTX2
OVOL1	ovo_like_transcriptional_repressor_1		O14753	ENSG00000172818	1	1	OVOL1	b	OVOL1	OVOL1	OVOL1	2.3.3.17.1	OVOL1	OVOL1	7	OVOL1	PTHR10032	SF217	TRANSCRIPTION_FACTOR_OVO-LIKE_1-RELATED
OVOL2	ovo_like_zinc_finger_2		Q9BRP0	ENSG00000125850	1	1	OVOL2	b	OVOL2	OVOL2	OVOL2	2.3.3.17.2	OVOL2	OVOL2	7	OVOL2	PTHR10032	SF193	TRANSCRIPTION_FACTOR_OVO-LIKE_2
OVOL3	ovo_like_zinc_finger_3		O00110	ENSG00000105261	1	1	OVOL3	c		OVOL3	OVOL3	2.3.2.4.8	OVOL3	OVOL3	6		PTHR10032	SF220	TRANSCRIPTION_FACTOR_OVO-LIKE_PROTEIN_3-RELATED
PATZ1	POZ/BTB_and_AT_hook_containing_zinc_finger_1		Q9HBE1	ENSG00000100105	1	1	PATZ1	b	PATZ1	PATZ1	PATZ1	2.3.4.8.3	PATZ1	PATZ1	7		PTHR24399	SF15	POZ-,_AT_HOOK-,_AND_ZINC_FINGER-CONTAINING_PROTEIN_1
PAX1	paired_box_1		P15863	ENSG00000125813	1	1	PAX1	a	PAX1	PAX1	PAX1	3.2.2.1.1	PAX1	PAX1	7	PAX1	PTHR45636	SF15	PAIRED_BOX_PROTEIN_PAX-1
PAX2	paired_box_2		Q02962	ENSG00000075891	1	1	PAX2	a	PAX2	PAX2	PAX2	3.2.2.2.1	PAX2	PAX2	7	PAX2	PTHR45636	SF19	PAIRED_BOX_PROTEIN_PAX-2
